,Date,Precipitation
0,2014-05-01,0.0
1,2014-05-01,0.0
2,2014-05-02,
3,2014-05-02,
4,2014-05-03,
5,2014-05-03,
6,2014-05-04,0.0
7,2014-05-04,0.0
8,2014-05-05,
9,2014-05-05,
10,2014-05-06,
11,2014-05-06,
12,2014-05-07,0.0
13,2014-05-07,0.0
14,2014-05-08,0.0
15,2014-05-08,0.0
16,2014-05-09,0.0
17,2014-05-09,0.0
18,2014-05-10,0.0
19,2014-05-10,0.0
20,2014-05-11,0.0
21,2014-05-11,0.0
22,2014-05-12,
23,2014-05-12,
24,2014-05-13,
25,2014-05-13,
26,2014-05-14,0.0
27,2014-05-14,0.0
28,2014-05-15,0.0
29,2014-05-15,0.0
30,2014-05-16,0.0
31,2014-05-16,0.0
32,2014-05-17,0.0
33,2014-05-17,0.0
34,2014-05-18,0.0
35,2014-05-18,0.0
36,2014-05-19,0.0
37,2014-05-19,0.0
38,2014-05-20,0.0
39,2014-05-20,0.0
40,2014-05-21,0.0
41,2014-05-21,0.0
42,2014-05-22,0.0
43,2014-05-22,0.0
44,2014-05-23,0.0
45,2014-05-23,0.0
46,2014-05-24,0.0
47,2014-05-24,0.0
48,2014-05-25,0.0
49,2014-05-25,0.0
50,2014-05-26,
51,2014-05-26,
52,2014-05-27,0.0
53,2014-05-27,0.0
54,2014-05-28,0.0
55,2014-05-28,0.0
56,2014-05-29,0.0
57,2014-05-29,0.0
58,2014-05-30,0.0
59,2014-05-30,0.0
60,2014-05-31,0.0
61,2014-05-31,0.0
62,2014-06-01,0.0
63,2014-06-01,0.0
64,2014-06-02,0.0
65,2014-06-02,0.0
66,2014-06-03,0.0
67,2014-06-03,0.0
68,2014-06-04,0.0
69,2014-06-04,0.0
70,2014-06-05,0.0
71,2014-06-05,0.0
72,2014-06-06,0.0
73,2014-06-06,0.0
74,2014-06-07,0.0
75,2014-06-07,0.0
76,2014-06-08,0.0
77,2014-06-08,0.0
78,2014-06-09,0.0
79,2014-06-09,0.0
80,2014-06-10,0.0
81,2014-06-10,0.0
82,2014-06-11,0.0
83,2014-06-11,0.0
84,2014-06-12,0.0
85,2014-06-12,0.0
86,2014-06-13,0.0
87,2014-06-13,0.0
88,2014-06-14,0.0
89,2014-06-14,0.0
90,2014-06-15,0.0
91,2014-06-15,0.0
92,2014-06-16,0.0
93,2014-06-16,0.0
94,2014-06-17,0.0
95,2014-06-17,0.0
96,2014-06-18,0.0
97,2014-06-18,0.0
98,2014-06-19,0.0
99,2014-06-19,0.0
100,2014-06-20,0.0
101,2014-06-20,0.0
102,2014-06-21,0.0
103,2014-06-21,0.0
104,2014-06-22,0.0
105,2014-06-22,0.0
106,2014-06-23,0.0
107,2014-06-23,0.0
108,2014-06-24,0.0
109,2014-06-24,0.0
110,2014-06-25,0.0
111,2014-06-25,0.0
112,2014-06-26,0.0
113,2014-06-26,0.0
114,2014-06-27,0.0
115,2014-06-27,0.0
116,2014-06-28,0.0
117,2014-06-28,0.0
118,2014-06-29,0.0
119,2014-06-29,0.0
120,2014-06-30,0.0
121,2014-06-30,0.0
122,2014-07-01,0.0
123,2014-07-01,0.0
124,2014-07-02,0.0
125,2014-07-02,0.0
126,2014-07-03,0.0
127,2014-07-03,0.0
128,2014-07-04,0.0
129,2014-07-04,0.0
130,2014-07-05,0.0
131,2014-07-05,0.0
132,2014-07-06,0.0
133,2014-07-06,0.0
134,2014-07-07,0.0
135,2014-07-07,0.0
136,2014-07-08,0.0
